itemID,spellID,name,spellName,requiredLevel,quality,qualityRank,maxStacks,isEquipable,icon,descriptionSource,description,spellDescription,specTokens,spec,classRequirements_json,getEnchantInfo_ok,getEnchantInfo_retN,getEnchantInfo_retTypes,getEnchantInfo_keys
554001,54733,Glyph of Rebirth,Glyph of Rebirth,20,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_Reincarnation,C_Spell:GetSpellDescription,Players resurrected by Rebirth are returned to life with 100% health.,Players resurrected by Rebirth are returned to life with 100% health.,"{""1"": ""RESTORATION""}","{""1"": ""RESTORATION""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554002,54743,Glyph of Regrowth,Glyph of Regrowth,12,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_ResistNature,C_Spell:GetSpellDescription,Increases the healing of your Regrowth spell by 20% if your Regrowth effect is still active on the target.,Increases the healing of your Regrowth spell by 20% if your Regrowth effect is still active on the target.,"{""1"": ""RESTORATION""}","{""1"": ""RESTORATION""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554003,54754,Glyph of Rejuvenation,Glyph of Rejuvenation,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_Rejuvenation,C_Spell:GetSpellDescription,"While your Rejuvenation targets are below 50% health, you will heal them for an additional 50% health.","While your Rejuvenation targets are below 50% health, you will heal them for an additional 50% health.","{""1"": ""RESTORATION""}","{""1"": ""RESTORATION""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554004,54756,Glyph of Wrath,Glyph of Wrath,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_AbolishMagic,C_Spell:GetSpellDescription,Reduces the pushback suffered from damaging attacks while casting Wrath by 50%.,Reduces the pushback suffered from damaging attacks while casting Wrath by 50%.,"{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554005,54760,Glyph of Entangling Roots,Glyph of Entangling Roots,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_StrangleVines,C_Spell:GetSpellDescription,Increases the damage your Entangling Roots victims can take before the Entangling Roots automatically breaks by 20%.,Increases the damage your Entangling Roots victims can take before the Entangling Roots automatically breaks by 20%.,"{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554006,54810,Glyph of Frenzied Regeneration,Glyph of Frenzied Regeneration,36,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_BullRush,C_Spell:GetSpellDescription,"While Frenzied Regeneration is active, healing effects on you are 20% more powerful.","While Frenzied Regeneration is active, healing effects on you are 20% more powerful.","{""1"": ""FERAL""}","{""1"": ""FERAL""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Feral""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554007,54811,Glyph of Maul,Glyph of Maul,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_Druid_Maul,C_Spell:GetSpellDescription,Your Maul ability hits 1 additional target.,Your Maul ability hits 1 additional target.,"{""1"": ""FERAL""}","{""1"": ""FERAL""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Feral""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554008,54813,Glyph of Mangle,Glyph of Mangle,40,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_Druid_Mangle2,C_Spell:GetSpellDescription,Increases the damage done by Mangle by 10%.,Increases the damage done by Mangle by 10%.,"{""1"": ""FERAL""}","{""1"": ""FERAL""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Feral""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554009,54815,Glyph of Shred,Glyph of Shred,22,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Shadow_VampiricAura,C_Spell:GetSpellDescription,"Each time you Shred, the duration of your Rip on the target is extended 2 sec, up to a maximum of 6 sec.","Each time you Shred, the duration of your Rip on the target is extended 2 sec, up to a maximum of 6 sec.","{""1"": ""FERAL""}","{""1"": ""FERAL""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Feral""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554010,54818,Glyph of Rip,Glyph of Rip,20,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_GhoulFrenzy,C_Spell:GetSpellDescription,Increases the duration of your Rip ability by 4 sec.,Increases the duration of your Rip ability by 4 sec.,"{""1"": ""FERAL""}","{""1"": ""FERAL""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Feral""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
