# bbscan_version,0.4.6
# generated_at,2026-02-28 19:48:31

skillLineID,profession,spellID,spellName,minSkill,effects,outputs,outputs_named,reagents,reagents_named,totems,has_random_item
165,Leatherworking,2149,,1,24,2302,2302,2318x2;2320x1,2318x2;2320x1,,0
165,Leatherworking,2152,,1,24,2304,2304,2318x1,2318x1,,0
165,Leatherworking,2153,,30,24,2303,2303,2318x4;2320x1,2318x4;2320x1,,0
165,Leatherworking,2158,,45,24,2307,2307,2318x7;2320x2,2318x7;2320x2,,0
165,Leatherworking,2159,,1,24,2308,2308,2318x10;2321x2,2318x10;2321x2,,0
165,Leatherworking,2160,,50,24,2300,2300,2318x8;2320x4,2318x8;2320x4,,0
165,Leatherworking,2161,,65,24,2309,2309,2318x8;2320x5,2318x8;2320x5,,0
165,Leatherworking,2162,,65,24,2310,2310,2318x5;2320x2,2318x5;2320x2,,0
165,Leatherworking,2163,,70,24,2311,2311,2318x8;2320x2;2324x1,2318x8;2320x2;2324x1,,0
165,Leatherworking,2164,,70,24,2312,2312,4231x1;2318x4;2320x2,4231x1;2318x4;2320x2,,0
165,Leatherworking,2165,,75,24,2313,2313,2319x4;2320x1,2319x4;2320x1,,0
165,Leatherworking,2166,,125,24,2314,2314,2319x10;4231x6;2321x2,2319x10;4231x6;2321x2,,0
165,Leatherworking,2167,,100,24,2315,2315,2319x4;2321x2;4340x1,2319x4;2321x2;4340x1,,0
165,Leatherworking,2168,,110,24,2316,2316,2319x8;2321x1;4340x1,2319x8;2321x1;4340x1,,0
165,Leatherworking,2169,,100,24,2317,2317,2319x6;2321x1;4340x1,2319x6;2321x1;4340x1,,0
171,Alchemy,2329,,1,24,2454,2454,2449x1;765x1;3371x1,2449x1;765x1;3371x1,,0
171,Alchemy,2330,,1,24,118,118,2447x1;765x1;3371x1,2447x1;765x1;3371x1,,0
171,Alchemy,2331,,30,24,2455,2455,785x1;765x1;3371x1,785x1;765x1;3371x1,,0
171,Alchemy,2332,,40,24,2456,2456,785x2;2447x1;3371x1,785x2;2447x1;3371x1,,0
171,Alchemy,2333,,1,24,3390,3390,3355x1;2452x1;3372x1,3355x1;2452x1;3372x1,,0
171,Alchemy,2334,,50,24,2458,2458,2449x2;2447x1;3371x1,2449x2;2447x1;3371x1,,0
171,Alchemy,2335,,60,24,2459,2459,2452x1;2450x1;3371x1,2452x1;2450x1;3371x1,,0
171,Alchemy,2336,,70,24,2460,2460,2449x2;785x2;3371x1,2449x2;785x2;3371x1,,0
171,Alchemy,2337,,80,24,858,858,118x1;2450x1,118x1;2450x1,,0
197,Tailoring,2385,,1,24,2568,2568,2996x1;2320x1,2996x1;2320x1,,0
197,Tailoring,2386,,1,24,2569,2569,2996x3;2320x1;2318x1,2996x3;2320x1;2318x1,,0
197,Tailoring,2387,,1,24,2570,2570,2996x1;2320x1,2996x1;2320x1,,0
197,Tailoring,2389,,1,24,2572,2572,2996x3;2320x2;2604x2,2996x3;2320x2;2604x2,,0
197,Tailoring,2392,,1,24,2575,2575,2996x2;2320x1;2604x1,2996x2;2320x1;2604x1,,0
197,Tailoring,2393,,1,24,2576,2576,2996x1;2320x1;2324x1,2996x1;2320x1;2324x1,,0
197,Tailoring,2394,,1,24,2577,2577,2996x2;2320x1;6260x1,2996x2;2320x1;6260x1,,0
197,Tailoring,2395,,1,24,2578,2578,2996x4;2318x1;2321x1,2996x4;2318x1;2321x1,,0
197,Tailoring,2396,,1,24,2579,2579,2996x3;2321x1;2605x1,2996x3;2321x1;2605x1,,0
197,Tailoring,2397,,1,24,2580,2580,2996x2;2320x3,2996x2;2320x3,,0
197,Tailoring,2399,,1,24,2582,2582,2997x2;2321x2;2605x1,2997x2;2321x2;2605x1,,0
197,Tailoring,2401,,1,24,2583,2583,2997x4;2321x2;2318x2,2997x4;2321x2;2318x2,,0
197,Tailoring,2402,,1,24,2584,2584,2997x1;2321x1,2997x1;2321x1,,0
197,Tailoring,2403,,1,24,2585,2585,2997x4;2321x3;4340x1,2997x4;2321x3;4340x1,,0
197,Tailoring,2406,,1,24,2587,2587,2997x2;2321x1;4340x1,2997x2;2321x1;4340x1,,0
185,Cooking,2538,,1,24,2679,2679,2672x1,2672x1,,0
185,Cooking,2539,,30,24,2680,2680,2672x1,2672x1,,0
185,Cooking,2540,,1,24,2681,2681,769x1,769x1,,0
185,Cooking,2541,,65,24,2684,2684,2673x1,2673x1,,0
185,Cooking,2542,,65,24,724,724,723x1,723x1,,0
185,Cooking,2543,,75,24,733,733,729x1;730x1;731x1,729x1;730x1;731x1,,0
185,Cooking,2544,,75,24,2683,2683,2674x1,2674x1,,0
185,Cooking,2545,,85,24,2682,2682,2675x1,2675x1,,0
185,Cooking,2546,,110,24,2687,2687,2677x1,2677x1,,0
185,Cooking,2547,,125,24,1082,1082,1081x1;1080x1,1081x1;1080x1,,0
185,Cooking,2548,,135,24,2685,2685,2677x2,2677x2,,0
185,Cooking,2549,,135,24,1017,1017,1015x2,1015x2,,0
164,Blacksmithing,2660,,1,24,2862,2862,2835x1,2835x1,,0
