spellID,name,icon,inSpellbook,spellmeta_latest_json,spellmeta_json,talents_n,talentEntryIDs,talents_json,mystic_n,mysticItemIDs,mysticEnchants_json
81,,,True,,,0,,,0,,
107,,,True,,,0,,,0,,
818,,,True,,,0,,,0,,
2259,,,True,,,0,,,0,,
2383,,,True,,,0,,,0,,
2580,,,True,,,0,,,0,,
2656,,,True,,,0,,,0,,
3102,,,True,,,0,,,0,,
3104,,,True,,,0,,,0,,
3127,,,True,,,0,,,0,,
3274,,,True,,,0,,,0,,
6603,,,True,,,0,,,0,,
7411,,,True,,,0,,,0,,
7620,,,True,,,0,,,0,,
8617,,,True,,,0,,,0,,
13262,,,True,,,0,,,0,,
54733,Glyph of Rebirth,Interface\Icons\Spell_Nature_Reincarnation,False,,,0,,,1,554001,"[{""classRequirements"": {""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}, ""description"": ""Players resurrected by Rebirth are returned to life with 100% health."", ""descriptionSource"": ""C_Spell:GetSpellDescription"", ""getEnchantInfo_keys"": {""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}, ""getEnchantInfo_ok"": true, ""getEnchantInfo_retN"": 1, ""getEnchantInfo_retTypes"": {""1"": ""table""}, ""icon"": ""Interface\\Icons\\Spell_Nature_Reincarnation"", ""isAvailableForCurrentClass"": true, ""isEquipable"": true, ""itemID"": 554001, ""known"": true, ""maxStacks"": 1, ""name"": ""Glyph of Rebirth"", ""quality"": ""RE_QUALITY_RARE"", ""qualityRank"": 1, ""requiredLevel"": 20, ""spec"": {""1"": ""RESTORATION""}, ""specTokens"": {""1"": ""RESTORATION""}, ""spellDescription"": ""Players resurrected by Rebirth are returned to life with 100% health."", ""spellID"": 54733, ""spellName"": ""Glyph of Rebirth"", ""uiItemQuality"": 3}]"
54743,Glyph of Regrowth,Interface\Icons\Spell_Nature_ResistNature,False,,,0,,,1,554002,"[{""classRequirements"": {""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}, ""description"": ""Increases the healing of your Regrowth spell by 20% if your Regrowth effect is still active on the target."", ""descriptionSource"": ""C_Spell:GetSpellDescription"", ""getEnchantInfo_keys"": {""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}, ""getEnchantInfo_ok"": true, ""getEnchantInfo_retN"": 1, ""getEnchantInfo_retTypes"": {""1"": ""table""}, ""icon"": ""Interface\\Icons\\Spell_Nature_ResistNature"", ""isAvailableForCurrentClass"": true, ""isEquipable"": true, ""itemID"": 554002, ""maxStacks"": 1, ""name"": ""Glyph of Regrowth"", ""quality"": ""RE_QUALITY_RARE"", ""qualityRank"": 1, ""requiredLevel"": 12, ""spec"": {""1"": ""RESTORATION""}, ""specTokens"": {""1"": ""RESTORATION""}, ""spellDescription"": ""Increases the healing of your Regrowth spell by 20% if your Regrowth effect is still active on the target."", ""spellID"": 54743, ""spellName"": ""Glyph of Regrowth"", ""uiItemQuality"": 3}]"
