talentID,spellID,name,spellName,requiredLevel,quality,maxRank,nodeType,class,tree,specFile,classFile,icon,descriptionSource,spellDescription,spells_json,entry_json
1359,1988256,Single-Minded Fury,Single-Minded Fury,60,Normal,1,SpendSquare,RebornWarrior,Fury,FURY,WARRIOR,Interface\Icons\Warrior_talent_icon_singlemindedfury,scan:spellDescription,"When you dual wield one-handed weapons, you deal 5% additional damage and Slam hits with both weapons.","{""1"": 1988256}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornWarrior"", ""Color"": ""TEAL"", ""Column"": 3, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 1359, ""Icon"": ""Warrior_talent_icon_singlemindedfury"", ""Name"": ""Single-Minded Fury"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 60, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 50, ""Row"": 10, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1988256}, ""TECost"": 1, ""Tab"": ""Fury"", ""Type"": ""TalentAbility"", ""entryID"": 1359, ""spellID"": 1988256}"
12001,1111078,Improved Fire Blast,Improved Fire Blast,10,Normal,2,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_Fireball,scan:spellDescription,Reduces the cooldown of your Fire Blast spell by 1 sec.,"{""1"": 1111078, ""2"": 1111080}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 1, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12001, ""Icon"": ""Spell_Fire_Fireball"", ""Name"": ""Improved Fire Blast"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 10, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 0, ""Row"": 0, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111078, ""2"": 1111080}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12001, ""spellID"": 1111078}"
12003,1118459,Incineration,Incineration,10,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_FlameShock,scan:spellDescription,"Increases the critical strike chance of your Fire Blast, Scorch, Arcane Blast and Cone of Cold spells by 2%.","{""1"": 1118459, ""2"": 1118460, ""3"": 1154734}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 2, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12003, ""Icon"": ""Spell_Fire_FlameShock"", ""Name"": ""Incineration"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 10, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 0, ""Row"": 0, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1118459, ""2"": 1118460, ""3"": 1154734}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12003, ""spellID"": 1118459}"
12006,1111069,Improved Fireball,Improved Fireball,10,Normal,5,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_FlameBolt,scan:spellDescription,Reduces the casting time of your Fireball spell by 0.1 sec.,"{""1"": 1111069, ""2"": 1112338, ""3"": 1112339, ""4"": 1112340, ""5"": 1112341}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 3, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12006, ""Icon"": ""Spell_Fire_FlameBolt"", ""Name"": ""Improved Fireball"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 10, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 0, ""Row"": 0, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111069, ""2"": 1112338, ""3"": 1112339, ""4"": 1112340, ""5"": 1112341}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12006, ""spellID"": 1111069}"
12011,1111119,Ignite,Ignite,15,Normal,5,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_Incinerate,scan:spellDescription,Your critical strikes from Fire damage spells cause the target to burn for an additional 8% of your spell's damage over 4 sec.,"{""1"": 1111119, ""2"": 1111120, ""3"": 1112846, ""4"": 1112847, ""5"": 1112848}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 1, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12011, ""Icon"": ""Spell_Fire_Incinerate"", ""Name"": ""Ignite"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 15, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 5, ""Row"": 1, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111119, ""2"": 1111120, ""3"": 1112846, ""4"": 1112847, ""5"": 1112848}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12011, ""spellID"": 1111119}"
12016,1154747,Burning Determination,Burning Determination,15,Normal,2,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_TotemOfWrath,scan:spellDescription,When Interrupted or Silenced you have a 50% chance to become immune to the next Interrupt or Silence mechanic. Lasts 20 sec.,"{""1"": 1154747, ""2"": 1154749}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 2, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12016, ""Icon"": ""Spell_Fire_TotemOfWrath"", ""Name"": ""Burning Determination"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 15, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 5, ""Row"": 1, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1154747, ""2"": 1154749}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12016, ""spellID"": 1154747}"
12018,1111108,World in Flames,World in Flames,15,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Ability_Mage_WorldInFlames,scan:spellDescription,"Increases the critical strike chance of your Flamestrike, Pyroblast, Blast Wave, Dragon's Breath, Living Bomb, Blizzard and Arcane Explosion spells by 2%.","{""1"": 1111108, ""2"": 1112349, ""3"": 1112350}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 3, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12018, ""Icon"": ""Ability_Mage_WorldInFlames"", ""Name"": ""World in Flames"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 15, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 5, ""Row"": 1, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111108, ""2"": 1112349, ""3"": 1112350}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12018, ""spellID"": 1111108}"
12021,1111100,Flame Throwing,Flame Throwing,20,Normal,2,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_Flare,scan:spellDescription,Increases the range of all Fire spells except Frostfire Bolt by 3 yards.,"{""1"": 1111100, ""2"": 1112353}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 1, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12021, ""Icon"": ""Spell_Fire_Flare"", ""Name"": ""Flame Throwing"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 20, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 10, ""Row"": 2, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111100, ""2"": 1112353}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12021, ""spellID"": 1111100}"
12023,1111103,Impact,Impact,20,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_MeteorStorm,scan:spellDescription,Gives your damaging spells a 4% chance to cause the next Fire Blast you cast to stun the target for 2 sec.,"{""1"": 1111103, ""2"": 1112357, ""3"": 1112358}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 2, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12023, ""Icon"": ""Spell_Fire_MeteorStorm"", ""Name"": ""Impact"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 20, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 10, ""Row"": 2, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111103, ""2"": 1112357, ""3"": 1112358}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12023, ""spellID"": 1111103}"
12026,1111366,Pyroblast,Pyroblast,20,Normal,1,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_Fireball02,scan:spellDescription,Hurls an immense fiery boulder that causes 141 to 187 Fire damage and an additional 84 Fire damage over 12 sec.,"{""1"": 1111366}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 3, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12026, ""Icon"": ""Spell_Fire_Fireball02"", ""Name"": ""Pyroblast"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 20, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 10, ""Row"": 2, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111366}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""TalentAbility"", ""entryID"": 12026, ""spellID"": 1111366}"
